no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2,승차시간
1123,중형승합,2018-05-08 오전 5:30:00,,2018-05-08 오전 5:30:00,도봉구,창제3동,성북구,안암동,2018-05-08 05:30:00
1123,중형승합,2018-05-08 오전 5:31:00,,2018-05-08 오전 5:31:00,중랑구,망우본동,중랑구,신내1동,2018-05-08 05:31:00
7630,중형승합,2018-05-06 오전 8:10:00,,2018-05-06 오전 8:10:00,강남구,수서동,강남구,일원1동,2018-05-06 08:10:00
7606,중형승합,2018-06-03 오전 8:03:00,,2018-06-03 오전 8:03:00,강서구,가양제2동,강서구,가양제1동,2018-06-03 08:03:00
7908,중형승합,2018-07-29 오전 7:00:00,,2018-07-29 오전 7:00:00,강서구,가양제2동,양천구,목2동,2018-07-29 07:00:00
9757,중형승합,2018-08-09 오전 7:00:00,,2018-08-09 오전 7:00:00,중랑구,신내2동,중랑구,신내1동,2018-08-09 07:00:00
7651,중형승합,2018-08-26 오전 7:34:00,,2018-08-26 오전 7:34:00,마포구,서강동,종로구,종로1.2.3.4가동,2018-08-26 07:34:00
5826,중형승합,2018-11-14 오전 12:20:00,,2018-11-14 오전 12:20:00,양천구,신월5동,노원구,중계1동,2018-11-14 12:20:00
7906,중형승합,2018-11-12 오전 7:00:00,,2018-11-12 오전 7:00:00,관악구,대학동,구로구,구로제5동,2018-11-12 07:00:00
7604,중형승합,2019-01-01 오전 9:51:00,,2019-01-01 오전 9:51:00,노원구,중계2.3동,노원구,하계1동,2019-01-01 09:51:00
9744,중형승합,2019-01-28 오전 7:00:00,,2019-01-28 오전 7:00:00,송파구,풍납1동,강동구,둔촌제2동,2019-01-28 07:00:00
1096,중형승합,2019-02-25 오전 6:00:00,,2019-02-25 오전 6:00:00,동작구,상도제3동,중구,신당제4동,2019-02-25 06:00:00
1315,중형승합,2019-03-31 오전 7:11:00,,2019-03-31 오전 7:11:00,구로구,구로제3동,강서구,등촌제3동,2019-03-31 07:11:00
9960,중형승합,2019-03-10 오전 8:24:00,,2019-03-10 오전 8:24:00,강남구,일원1동,서초구,양재1동,2019-03-10 08:24:00
1373,중형승합,2019-03-28 오전 5:00:00,,2019-03-28 오전 5:00:00,송파구,가락본동,강남구,일원본동,2019-03-28 05:00:00
1760,중형승합,2019-04-22 오전 7:00:00,,2019-04-22 오전 7:00:00,마포구,성산제1동,종로구,종로1.2.3.4가동,2019-04-22 07:00:00
1571,중형승합,2019-07-16 오전 7:00:00,,2019-07-16 오전 7:00:00,광진구,중곡제3동,동대문구,회기동,2019-07-16 07:00:00
9955,중형승합,2019-08-15 오전 8:12:00,,2019-08-15 오전 8:12:00,은평구,응암제3동,중구,회현동,2019-08-15 08:12:00
1308,중형승합,2019-08-23 오전 7:00:00,,2019-08-23 오전 7:00:00,동작구,사당제3동,강동구,둔촌제2동,2019-08-23 07:00:00
1321,중형승합,2019-09-15 오전 8:24:00,,2019-09-15 오전 8:24:00,양천구,신정7동,서대문구,북가좌제2동,2019-09-15 08:24:00
5586,중형승합,2019-10-28 오전 5:20:00,,2019-10-28 오전 5:20:00,관악구,인헌동,관악구,낙성대동,2019-10-28 05:20:00
7932,중형승합,2020-03-19 오전 7:21:00,,2020-03-19 오전 7:21:00,관악구,성현동,구로구,구로제5동,2020-03-19 07:21:00
4854,중형승합,2020-06-06 오전 8:59:00,,2020-06-06 오전 8:59:00,양천구,신월2동,양천구,신정4동,2020-06-06 08:59:00
7633,중형승합,2020-06-12 오전 7:15:00,,2020-06-12 오전 7:15:00,노원구,상계1동,도봉구,도봉제1동,2020-06-12 07:15:00
9762,중형승합,2020-07-15 오전 7:00:00,,2020-07-15 오전 7:00:00,양천구,신정3동,양천구,목1동,2020-07-15 07:00:00
1566,중형승합,2020-10-03 오전 7:00:00,,2020-10-03 오전 7:00:00,광진구,구의제1동,강서구,공항동,2020-10-03 07:00:00
1502,중형승합,2020-12-28 오전 7:52:37,,2020-12-28 오전 7:52:37,은평구,구산동,서대문구,신촌동,2020-12-28 07:52:37
8029,중형승합,2020-12-07 오전 7:08:26,,2020-12-07 오전 7:08:26,서대문구,남가좌제2동,은평구,역촌동,2020-12-07 07:08:26
1913,중형승용,2021-12-01 오전 7:15:00,,2021-12-01 오전 7:15:00,강동구,암사제3동,동대문구,답십리제3동,2021-12-01 07:43:12
4202,중형승용,2022-03-07 오전 7:12:57,,2022-03-07 오전 7:12:57,강북구,인수동,송파구,잠실2동,2022-03-07 07:56:09
