no,cartype,receipttime,settime,ridetime,startpos1,startpos2,endpos1,endpos2
0,nan,2021-11-03 오전 7:05:00,2021-11-03 오전 7:13:12,,강동구,암사제3동,동대문구,답십리제3동
0,nan,2021-11-17 오전 7:00:00,2021-11-17 오전 7:09:02,,노원구,중계2.3동,종로구,종로1.2.3.4가동
0,nan,2021-11-02 오전 7:00:00,2021-11-02 오전 7:00:57,,용산구,이촌제1동,서초구,반포4동
0,nan,2022-01-31 오전 7:00:00,2022-01-31 오전 7:02:42,,서대문구,홍은제2동,마포구,대흥동
0,nan,2022-02-20 오전 9:26:00,2022-02-20 오전 9:35:58,,강동구,길동,성동구,마장동
0,nan,2022-03-07 오전 4:17:00,2022-03-07 오전 4:25:05,,광진구,중곡제4동,마포구,서교동
0,nan,2022-05-14 오전 12:06:00,2022-05-14 오전 12:08:51,,동대문구,전농제2동,강북구,번제1동
0,nan,2022-05-31 오전 7:00:00,2022-05-31 오전 7:04:29,,양천구,목4동,구로구,구로제2동
0,nan,2022-06-06 오전 7:00:00,2022-06-06 오전 7:08:49,,강서구,등촌제3동,은평구,구산동
0,nan,2022-06-25 오전 7:00:00,2022-06-25 오전 7:08:49,,노원구,상계10동,동대문구,전농제2동
